

2024/06/12 (22:35:27) | ===> btop++ v.1.3.2
2024/06/12 (22:35:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (23:17:19) | ===> btop++ v.1.3.2
2024/06/12 (23:17:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/13 (00:01:47) | ===> btop++ v.1.3.2
2024/06/13 (00:01:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/13 (19:11:21) | ===> btop++ v.1.3.2
2024/06/13 (19:11:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/14 (00:14:36) | ===> btop++ v.1.3.2
